480,0,27,0.001,120,120,120
477.19,0,28,0.001,0.1083,0.085199,0.087441
473.58,0,29,0.001,0.087978,0.08079,0.079483
471.62,0,29,0.001,0.09297,0.095931,0.086214
468.67,0,29,0.001,0.085271,0.079972,0.094023
466.17,0,29.5,0.001,0.094733,0.086044,0.094748
463.74,0,30,0.001,0.08599,0.074278,0.091625
461.83,0,30,0.001,0.093447,0.088398,0.094445
459.08,0,30,0.001,0.085743,0.07754,0.088062
457.3,0,30.5,0.001,0.091101,0.10008,0.10521
454.38,0,31,0.001,0.085337,0.08167,0.076162
452.9,0,31.5,0.001,0.096499,0.078364,0.089622
449.94,0,32,0.001,0.08319,0.092549,0.084718
453.22,62,32.5,0.001,0.34641,0.32933,0.3078
469.17,124,33,0.001,0.8202,0.73559,0.69514
494.35,279.5,33.5,0.001,1.9847,1.8199,1.7348
536.59,435,34,0.001,3.3987,3.0631,2.9596
582.95,550,34.5,0.001,4.7122,4.2435,4.1084
584.03,665,35,0.001,5.7907,5.2389,5.1021
582.93,729.5,35.5,0.001,6.3895,5.8187,5.5615
583.17,794,36,0.001,6.9407,6.3475,6.0763
583.25,835,36.5,0.001,7.2725,6.6204,6.4152
583.13,876,37,0.001,7.6958,6.9565,6.6987
582.62,896.5,37,0.001,7.8572,7.1509,6.8312
583.45,917,37,0.001,8.0202,7.2651,7.0107
582.97,922.5,37,0.001,8.0781,7.3287,7.0207
583.3,928,37,0.001,8.0974,7.3696,7.075
582.73,923.5,37,0.001,8.085,7.3463,7.0324
583.26,919,37,0.001,8.0219,7.3035,7.0325
582.36,893,37.5,0.001,7.8276,7.142,6.8196
583.02,867,38,0.001,7.6157,6.9034,6.6451
582.73,817.5,38,0.001,7.1551,6.5089,6.2712
582.9,768,38,0.001,6.7374,6.1513,5.8894
582.48,709.5,39,0.001,6.2332,5.6997,5.4312
582.57,651,40,0.001,5.7466,5.2121,5.021
582.53,544.5,40.5,0.001,4.817,4.3653,4.1893
582.52,438,41,0.001,3.8694,3.4975,3.3907
578.75,287.5,40.5,0.001,2.5711,2.3345,2.2571
567.24,137,40,0.001,1.1804,1.1506,1.0312
583.05,137,40,0.001,1.1806,1.0653,1.0457
583.01,137,40,0.001,1.1843,1.0852,1.0324
582.98,137,40,0.001,1.1699,1.0646,1.0665
583.18,137,40,0.001,1.1662,1.0629,1.0485
583.02,137,40,0.001,1.1771,1.0856,1.0673
582.94,137,40,0.001,1.1851,1.0787,1.0472
583.1,137,40,0.001,1.1748,1.0635,1.043
583.03,137,40,0.001,1.1776,1.0645,1.0474
