0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,124
4,435
4.5,665
5,794
5.5,876
6,917
6.5,928
7,919
7.5,867
8,768
8.5,651
9,438
9.5,137
10,0	
10.5,0	
11,0	
11.5,0
