15.657,0,27,-0.67656,0.92239,-0.24583
335.45,0,27.02,-9.315,5.5965,3.7185
427.93,0,27.04,8.7055,-7.1446,-1.5609
400.67,0,27.06,-7.5134,11.069,-3.5561
346,0,27.08,-7.3798,-2.597,9.9768
342.2,0,27.1,2.6675,0.42596,-3.0934
289.74,0,27.12,-5.7986,0.34181,5.4568
256.79,0,27.14,11.766,-6.7913,-4.9751
250.25,0,27.16,-4.5912,12.599,-8.0078
249.82,0,27.18,-6.2139,-2.5469,8.7608
256.18,0,27.2,5.7148,-5.1909,-0.52389
254.47,0,27.22,1.6549,3.1386,-4.7935
254.67,0,27.24,-4.7216,2.4015,2.3201
263.86,0,27.26,0.74358,-3.4882,2.7446
276.57,0,27.28,3.9208,-0.59059,-3.3302
291.87,0,27.3,-3.3894,5.3027,-1.9133
299.92,0,27.32,-2.7312,-3.1447,5.8759
302.89,0,27.34,5.7635,-2.7957,-2.9678
303.07,0,27.36,-2.4183,5.6567,-3.2385
302.72,0,27.38,-1.8406,-1.6923,3.5329
303.83,0,27.4,1.8787,-1.162,-0.7167
306.46,0,27.42,-0.15816,0.73958,-0.58141
309.33,0,27.44,0.023529,-0.24021,0.21668
311.99,0,27.46,-0.11085,0.09708,0.013773
314.31,0,27.48,0.23036,-0.73692,0.50656
317.24,0,27.5,-0.48574,1.8207,-1.335
319.7,0,27.52,-1.7448,-1.1907,2.9356
321.6,0,27.54,3.0569,-1.2896,-1.7673
321.87,0,27.56,-1.5693,3.1316,-1.5623
321.35,0,27.58,-0.1489,-1.268,1.4169
321.13,0,27.6,0.41119,0.1619,-0.57309
320.76,0,27.62,-0.23633,-0.16764,0.40397
321.09,0,27.64,0.82099,-0.68683,-0.13416
322.16,0,27.66,-0.16062,0.5395,-0.37888
322.69,0,27.68,-0.57076,-0.53866,1.1094
324.85,0,27.7,0.16372,0.83462,-0.99834
326.49,0,27.72,-1.3108,-0.54566,1.8564
327.21,0,27.74,1.9683,-0.76711,-1.2012
326.54,0,27.76,-1.1904,2.1779,-0.98751
325.82,0,27.78,0.31127,-1.0262,0.71492
325.16,0,27.8,-0.036173,0.42843,-0.39225
325.1,0,27.82,-0.20003,-0.30091,0.50093
325.5,0,27.84,0.82276,-0.68776,-0.13499
325.69,0,27.86,-0.075232,0.60439,-0.52916
326.23,0,27.88,-0.82497,-0.37044,1.1954
327.69,0,27.9,0.45214,0.34793,-0.80007
329.06,0,27.92,-1.0331,-0.23638,1.2695
329.43,0,27.94,1.4206,-0.50105,-0.9195
328.32,0,27.96,-1.0173,1.7579,-0.7407
327.24,0,27.98,0.48851,-0.87012,0.38161
326.63,0,28,-0.15548,0.48825,-0.33277
326.4,0,28.02,-0.12932,-0.33934,0.46865
326.42,0,28.04,0.688,-0.5985,-0.089499
326.41,0,28.06,-0.023611,0.38145,-0.35784
326.63,0,28.08,-0.82917,-0.25061,1.0798
327.76,0,28.1,0.42256,0.29508,-0.71764
328.71,0,28.12,-0.88092,-0.21743,1.0983
329.37,0,28.14,1.1927,-0.36017,-0.8325
328.93,0,28.16,-0.91775,1.4752,-0.55743
328.1,0,28.18,0.56701,-0.73354,0.16653
327.38,0,28.2,-0.26254,0.46591,-0.20337
327.3,0,28.22,-0.037898,-0.31748,0.35538
327.51,0,28.24,0.58057,-0.57434,-0.006231
327.59,0,28.26,0.077959,0.19544,-0.2734
327.42,0,28.28,-0.91144,-0.13284,1.0443
